goos: linux
goarch: amd64
pkg: github.com/kamichidu/go-regexp-re/internal/benchmark
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	29137819	        41.46 ns/op	25292522.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	29163572	        41.16 ns/op	25475502.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	25467567	        41.00 ns/op	25575069.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	28846833	        41.31 ns/op	25384274.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	29142097	        41.41 ns/op	25319302.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	29054455	        41.40 ns/op	25330746.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	69566588	        17.28 ns/op	60694513.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	69203042	        17.32 ns/op	60529450.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	69532800	        17.39 ns/op	60307213.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	69500450	        17.37 ns/op	60366957.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	69641794	        17.33 ns/op	60523153.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	69479388	        17.34 ns/op	60460454.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	36461304	        32.83 ns/op	31935089.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	36380278	        33.09 ns/op	31685029.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	36169382	        33.01 ns/op	31768414.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	36665089	        33.06 ns/op	31715750.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	35926101	        33.11 ns/op	31668416.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	36579442	        32.91 ns/op	31860633.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	24511606	        48.73 ns/op	21518283.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	24787743	        48.68 ns/op	21540834.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	24417440	        48.65 ns/op	21554100.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	24902724	        48.72 ns/op	21524141.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	24456334	        48.59 ns/op	21582294.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	24884360	        48.36 ns/op	21681508.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	53405037	        22.26 ns/op	47113977.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	54422071	        22.29 ns/op	47045418.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	53066869	        22.23 ns/op	47179104.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	54372007	        22.19 ns/op	47244380.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	53821947	        22.14 ns/op	47370999.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	53932180	        22.15 ns/op	47336543.20 MB/s	       0 B/op	       0 allocs/op
2026/05/01 22:41:40 Downloading ken_all.zip from https://www.post.japanpost.jp/zipcode/dl/kogaki/zip/ken_all.zip...
2026/05/01 22:41:40 Unzipping ken_all.zip...
2026/05/01 22:41:41 Loaded 120677 unique postal codes
BenchmarkLargeAlternation/Count=10-2                  	   34632	     33427 ns/op	31370.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   35392	     35207 ns/op	29784.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   35236	     36024 ns/op	29108.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   33366	     33944 ns/op	30892.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   35838	     33926 ns/op	30909.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   33199	     35332 ns/op	29679.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   41918	     29404 ns/op	35661.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   42561	     28457 ns/op	36849.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   42680	     29800 ns/op	35188.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   39018	     28622 ns/op	36636.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   39691	     29738 ns/op	35262.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   42669	     28585 ns/op	36683.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=1000-2                	   39466	     29083 ns/op	36056.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=1000-2                	   42402	     29674 ns/op	35338.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=1000-2                	   42301	     29351 ns/op	35727.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=1000-2                	   39856	     30214 ns/op	34705.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=1000-2                	   39092	     28545 ns/op	36736.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=1000-2                	   42061	     28666 ns/op	36581.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   41412	     30536 ns/op	34339.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   38702	     29118 ns/op	36013.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   39366	     31131 ns/op	33684.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   38794	     30988 ns/op	33839.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   38864	     29751 ns/op	35246.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   42336	     28440 ns/op	36871.69 MB/s	       0 B/op	       0 allocs/op
2026/05/01 22:42:57 Downloading sherlock.txt from https://www.gutenberg.org/files/1661/1661-0.txt...
