goos: linux
goarch: amd64
pkg: github.com/kamichidu/go-regexp-re/internal/benchmark
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	 5753403	       208.6 ns/op	5025863.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	 5744071	       208.0 ns/op	5040547.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	 5785296	       208.1 ns/op	5038133.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	 5756268	       208.7 ns/op	5024428.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	 5779152	       208.0 ns/op	5041636.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Alternation/(fo|foo)-2         	 5748312	       208.1 ns/op	5038487.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	28789630	        44.16 ns/op	23745365.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	28691455	        41.86 ns/op	25049510.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	28166548	        41.83 ns/op	25065348.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	28599136	        41.71 ns/op	25139564.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	28690220	        41.90 ns/op	25026948.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Anchored/^(?:a)$-2             	28690306	        41.84 ns/op	25063473.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	 7573086	       158.3 ns/op	6622305.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	 7609857	       158.6 ns/op	6611620.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	 7594392	       158.6 ns/op	6612495.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	 7597682	       159.2 ns/op	6588109.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	 7498959	       159.1 ns/op	6592680.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/CharClass/(?i)[@-A]+-2         	 7604437	       159.3 ns/op	6583955.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	 8208882	       146.1 ns/op	7175174.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	 8180324	       146.1 ns/op	7175446.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	 8247076	       146.4 ns/op	7164656.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	 8152965	       147.2 ns/op	7123650.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	 8150314	       146.3 ns/op	7167520.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Complex/a+-2                   	 8147568	       146.6 ns/op	7153290.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	 8872668	       134.2 ns/op	7814176.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	 9044323	       134.5 ns/op	7796381.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	 9020004	       133.4 ns/op	7859400.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	 9078799	       133.4 ns/op	7860059.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	 9066211	       132.6 ns/op	7908098.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkStandardSuite/Literal/a-2                    	 9040568	       133.0 ns/op	7885735.70 MB/s	       0 B/op	       0 allocs/op
2026/05/01 15:51:01 Loaded 120677 unique postal codes
BenchmarkLargeAlternation/Count=10-2                  	   34218	     34448 ns/op	30440.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   34801	     34745 ns/op	30180.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   34816	     35468 ns/op	29565.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   32212	     34200 ns/op	30661.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   35145	     34530 ns/op	30367.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10-2                  	   34142	     34893 ns/op	30052.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   37628	     31842 ns/op	32931.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   39069	     30462 ns/op	34423.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   39579	     32998 ns/op	31778.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   37708	     30425 ns/op	34465.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   39520	     31031 ns/op	33792.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=100-2                 	   36268	     31108 ns/op	33708.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=1000-2                	   30448	     37823 ns/op	27724.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=1000-2                	   32811	     37332 ns/op	28089.08 MB/s	       0 B/op	       0 allocs/op
